Order,ID,Title,Bucket,Description,Why,Strategy fit,Priority,Status,Effort,Phase,Dependencies,Notes,Date Added
,B-005,Rebrand pass — oxide-rust logo + home eyebrow + under-H1 line + active-underline color + Pricing CTAs aligned,Visual/Feel,"Six targeted accent treatments on the live site. LOCKED SCOPE — preserve all copy / all layout / all positioning, only the 6 changes below. (1) Logo swap in src/components/Logo.tsx: old Cloudinary URL replaced with new oxide-rust SVG hosted at https://res.cloudinary.com/dys2k5muv/image/upload/v1779686901/brand/designature-horizontal-oxide-rust.svg (light variant, default) and https://res.cloudinary.com/dys2k5muv/image/upload/v1779686903/brand/designature-horizontal-oxide-rust-reversed.svg (reversed variant, used when invert=true). SVG viewBox is 35 30 700 169 (cropped from raw 35 30 700 175 to remove bottom whitespace) — if Logo.tsx uses inline SVG, copy mockup viewBox; if it uses <img>, the SVG file itself handles viewBox. (2) Home eyebrow: src/LanguageContext.tsx:577 'home.hero.eyebrow' value 'Interior Design Studio · Yerevan' → 'Online interior design studio'; ALSO apply oxide color (#8E3F2D) to the rendered span in src/components/home/HomeHeroText.tsx (currently text-[#6B6B6B] muted gray). (3) Under-H1 oxide line on every page with a page-level H1 (Home HomeHeroText, Portfolio 'Curated Spaces', Pricing 'Pricing', AI Concepts hero, Studio, Deliverables, FAQ, Style Quiz, AI Vision, Shopping List, Room Audit — NOT admin). Spec: 80px wide, 2px tall, 28px gap below H1; #8E3F2D on light bg, #C97A60 oxide-lifted on dark bg. Shared utility (Tailwind class or component). (4) Active-nav underline color in src/components/Header.tsx:238 — change bg-black → oxide (#8E3F2D) on light pages, bg-white → oxide-lifted (#C97A60) on dark pages. KEEP 1.5px thickness, KEEP position. AI Studio nav link is isHighlight (cobalt + pulsing dot) — DO NOT touch. (5) Active-filter underline color in src/components/PortfolioPage.tsx:67 — same logic, bg-black → oxide, keep 1px thickness, keep -bottom-[17px] position. (6) Pricing in src/components/PricingSection.tsx: change Most Popular badge bg from bg-[#0047AB] to oxide (#8E3F2D); add grid align-items: stretch on .grid container + height: 100% on each card + margin-top: auto on the CTA-row div so all 3 CTAs sit on the same baseline. Don't touch other pricing elements (dark Design card bg stays #0a0a0a, cobalt feature checks stay, Free cobalt CTA stays, outline-dark/light CTAs stay). Mockup files: _Mockups\Website\WEBSITE-PLAN-B005-rebrand-{1-home,2-portfolio,3-pricing,4-ai-studio}.html.","Owner-led rebrand introducing oxide-rust as a deliberate accent color tied to the new logo's STUDIO subtitle. Refreshes visual identity without touching the cobalt button system or any copy beyond the home eyebrow. Logo revision direction picked from B-004 discovery. Tagline change also aligns with SEO strategy (project_seo_strategy.md — Yerevan in description only, not in eyebrow).",Both,P1,Done (in production),M,1,"B-001, B-004","SHIPPED in TWO PRs. (1) B-005 main pass 2026-05-26 — PR #28, squash 21c4457. (2) B-005.1 follow-up 2026-05-29 — PR #29, squash 141db5d — Logo.tsx rebuilt as Cloudinary <img> 4-variant system (horizontal default / stacked / mark / wordmark × light/reversed), footer → mark-only reversed, oxide favicon (local public/favicon.svg), ClosingBand eyebrow line + AI 'COMING SOON' tag → oxide-lifted #C97A60, AI Studio pulse-dot cobalt → oxide #8E3F2D (link text stays cobalt). Reversed-logo transparency fix in same PR — stripped baked #1C1C1C graphite panel from all 4 reversed source SVGs in _Brand/Logo/, re-uploaded over same Cloudinary public_ids (versions v1780032116/118/121/123), bumped version strings in Logo.tsx. STRUCTURAL changes EXPLICITLY DROPPED 2026-05-24 (still stand): AI Studio 2-col split refactor, eyebrow above non-home H1s, recommended-tier oxide top border, step-number oxide etc. SEO meta in index.html still deferred. Original logos uploaded 2026-05-24 via scripts/upload-b005-logos.ts; mark/stacked/wordmark/favicon uploaded by owner 2026-05-29.",2026-05-29
,P-004,Image performance — make every render load fast,Performance/SEO,"EXPANDED 2026-04-30. Owner reaffirmed: 'website is all about images, loading them fast is crucial.' Implementation must cover: (1) Cloudinary auto-everything: f_auto,q_auto:good,dpr_auto,w_auto,c_fill on every image URL; (2) Modern formats AVIF/WebP via f_auto; (3) Responsive srcset for 390/768/1024/1440/1920 viewports; (4) Preload links in <head> for hero LCP candidates with rel='preload' as='image'; (5) fetchpriority='high' on hero, 'low' on below-fold; (6) loading='lazy' on portfolio grid + AI tiles + below-fold; (7) AI section dynamic tiles: preload both before/after images before crossfade animation kicks in; (8) aspect-ratio CSS on every image container to eliminate CLS; (9) Compression targets: hero ≤150KB, mid renders ≤80KB, thumbs ≤30KB; (10) Audit codebase for hardcoded Cloudinary URLs missing the transformation chain.",First impression IS portfolio renders. Slow images break Option 3 immediately and undermine every other feature. The site lives or dies on image speed.,Option 3,P0,Done (in production),L,1,,"First Done 2026-04-30 → reverted in Phase 1A v3 fallout → re-shipped 2026-05-04 as Phase 1A bisect step 5 (PR #15). New src/lib/cld.ts Cloudinary helper, ResponsiveImage component with srcset, hero preload links in index.html, fetchpriority + loading=lazy applied. Cloudinary markers verified in served HTML.",2026-05-04
,P-006,[Folded → S-019] SEO follow-up: og:url + twitter:url + static canonical,Performance/SEO,FOLDED 2026-05-08 into S-019 (server-side meta injection). The og:url + twitter:url + canonical issue is fully solved by injecting per-route meta server-side in server.ts before serving index.html. Original notes preserved: (1) index.html had og:url and twitter:url at apex domain — needs www. (2) <link rel='canonical'> set client-side via SiteCanonical; SPA-acceptable but link previewers and slower crawlers don't see it.,Folded — covered by Phase 2 SEO work (S-019). Note: there is a separate P-005 row above (Image SEO + alt text) — duplicate ID will be cleaned up in next workbook cleanup pass.,Option 3,P2,Folded → S-019,S,2,S-019,"Folded 2026-05-08. Surfaced during I-001 verification 2026-04-28. Renumbered P-005 → P-006 on 2026-09-05 (duplicate-ID cleanup; canonical P-005 = 'Image SEO — alt text discipline' (row 48), open and on the Roadmap).",2026-06-16
,I-007,Analytics & SEO measurement — GA4 + Search Console + Bing Webmaster,Infrastructure,"DONE (in production) 2026-05-24. Track A (owner-driven): GA4 property created (Measurement ID G-08XD0G2PGV), Google Search Console = DNS TXT verified (Domain property), Bing Webmaster Tools = imported from GSC. Track B (impl, PR #26, squash commit 29a1a4c): src/lib/analytics.ts with env-gated initGA() (idempotent, declares window.dataLayer + ImportMetaEnv types), wired once in src/main.tsx before render. VITE_GA4_MEASUREMENT_ID set on Railway only — localhost has no env var by design, so dev sessions never pollute prod analytics. Vitest: 3 new analytics tests (env-unset no-op, env-set injection + dataLayer seeded, idempotency). Phase 2 (privacy-friendly Plausible/Umami) and Phase 3 (Looker Studio) deferred — open as separate tickets when needed.","Owner needed visibility into what's working — without measurement, all SEO/product decisions were guesses. SEO work (S-007 series) requires Search Console; product work needs GA4. Lost in WordPress→React rebuild and now restored.",Both,P1,Done (in production),M,1,S-007,"Verified end-to-end on localhost (gate ON: gtag.js loaded with real ID, page_view received by GA4 Realtime, confirmed 1 user from Yerevan) and gate OFF (no env var = zero requests to googletagmanager). Direct follow-up = I-022 (SPA page_view on route change) — dispatch when ready.",2026-05-24
,VF-002,AI Studio UI — locked-tile polish (NEAR-TERM A) shipped · pattern-extraction (LATER B) deferred,Visual/Feel,DONE (in production) 2026-05-13 — folded into AI-023 PR. NEAR-TERM scope shipped: Room Audit (paid-locked) gets diagonal hatch + 70% opacity + cobalt 'DESIGN+' badge + cursor-pointer + cobalt-tinted hover; Design Brief + Cultural Advisor get same hatch + 62% opacity + 'SOON' muted badge + cursor-not-allowed. LIVE tiles unchanged. LATER scope (broader design-system pattern extraction across all 4 live cards) remains deferred — open a fresh ticket after AI-024 + AI-025 ship.,Locked tiles now read as 'real tool you'll unlock' rather than 'placeholder' — sharpens the upgrade-path story.,Both,P1,Done (in production),S,1,"AI-022, AI-023","Folded into AI-023 PR (one impl session, both scopes shipped together). LATER scope = pattern-extraction pass — open as a fresh ticket after AI-024 + AI-025 also ship; until then, AI-022 + AI-023's designs ARE the de facto system.",2026-05-13
,AI-022,Style Quiz — UI refinement (Direction B · cinematic single-pane),AI Studio,"DONE (in production) 2026-05-12. Direction B shipped — full cinematic single-pane treatment. Logged-out: 2-col hero (paused-frame voting preview + 3-step explainer + sign-in CTA) + 8-style strip. Voting: full-bleed 16:10 image with overlay buttons (Love it / Skip / Not for me), progress bar + Previous + favorites pill + style tag, early-end link from step 4. Moodboard = slide-out drawer via favorites pill. Results: full-bleed cinematic DNA reveal + glass-blur breakdown + action bar (Apply to AI Vision + Share + Retake + Save my style gated for Design+). Copy bug fixed (Rate 18 rooms). Persistent feedback band added at bottom.",Style Quiz is the entry point of the Discover phase. Direction B replaced the 3-col spreadsheet layout with cinematic single-pane.,Both,P1,Done (in production),M,1,,Internals UNLOCKED 2026-05-09. Save-my-style gated on Design+ tier (modal + sessionStorage persistence). Share is free for all (copy-link + Web Share API). Result gallery (resultGalleryImages strip) tracked as separate follow-up — can ship in AI-024 PR.,2026-05-12
,AI-023,AI Vision — UI refinement (Variant D · single-column gallery + cohesive treatment),AI Studio,"DONE (in production) 2026-05-13. Final design: Logged-out = LIGHT 2-col hero (before/after slider preview LEFT + serif headline + 3-step explainer + sign-in CTA RIGHT) + 'More transformations' 3-card strip below (cohesive with Style Quiz logged-out). Logged-in = DARK cinematic, straight to action — drop zone IS the hero (no marketing slider preface). DNA banner cobalt above hero (with Apply/Skip + sessionStorage dismiss flag). Refinement strip on dark below: Inspirations REQUIRED tag, Style + Room optional. Upload state: user's room as full-bleed (object-fit: contain). Results: 30/70 before/after split, variant thumbs, action bar (Variation/Download/Share/Get this designed). Image quality = q_100 + e_sharpen:100 with srcSet to 2400w (sharpest possible). Hero slider capped at 900×900 max. VF-002 (locked-tile polish) folded into this PR. Persistent feedback band at bottom.",AI Vision is the wow moment. Variant D (cinematic single-pane / pyramid-led / single-column gallery) makes the input → output story the page itself.,Both,P1,Done (in production),L,1,,"Iterated through Variants A/B/C/D before locking D. Cohesion-with-Style-Quiz pivots: logged-out LIGHT (both tools), logged-in DARK (both tools), straight-to-action (no marketing preface in logged-in). VF-002 shipped together. Open follow-ups: result gallery for Style Quiz (regression from AI-022), image perf (preload + LQIP + eager-cache for hero) — track as AI-026 perf ticket.",2026-05-13
,AI-027,Shopping List — graceful 'currently unavailable' UI (paired with I-009 kill switch),AI Studio,"Client-side handling for SHOPPING_DISABLED=true and SERPER_DAILY_BUDGET-exceeded states. When /api/shopping/search returns 503 with code='disabled': show graceful card in BOTH logged-out and logged-in shopping views — 'Shopping List is temporarily offline · we'll email you when it's back' + email signup wired to existing newsletter Google Sheets append. When code='daily_budget_exceeded': same card but copy is 'Daily limit reached, back tomorrow.' Header AI Studio menu: gray out Shopping List with a tiny 'offline' tag when disabled. Logged-out preview still shows the showcase but swaps CTA from 'Sign in to shop' to 'Get notified when it's back'.","Without this, users get raw 500 errors during Phase A deploys + during any future Serper-burn day. Bad UX. Email signup also builds a list of interested users to ping when shopping comes back.",Both,P0,Done (in production),S,1,I-009,"Phase A of observability initiative SHIPPED 2026-05-15 in same PR as I-009. New files: src/lib/shoppingStatus.ts (cached probe + hook), src/components/ShoppingOfflineCard.tsx. Production verified — offline card shows on /ai-concepts#shopping for all users.",2026-05-15
,AI-028,AI Vision — restore bottom Generate button (AI-023 mockup gap) + add Hallway chip + auto-scroll to hero on Generate,AI Studio,"Three targeted fixes: (1) Restore the SECONDARY 'Generate Concept' button at the BOTTOM of the refinement section — the AI-023 cohesive mockup specced this 'generate-block' at the end of the refinement strip but only the hero-overlay button shipped; restoring brings prod in line with the mockup. (2) Add 'Hallway' to the room chip row alongside the existing 8 types — touches 5 files (RoomType union, ROOM_TYPE_LABELS, label→key map, ROOM_TYPES array, ROOM_TYPES_FULL array) which must all stay in sync. (3) On Generate click from EITHER button, smooth-scroll the page back to the dark hero section so the processing animation is visible — fixes the dead-state where users at the bottom of the refinement strip see nothing happening during the 20-30s generation. NOTE: strengthening architectural-preservation prompt constraints still DEFERRED — see feedback_ai_vision_design.md.","Bottom Generate button: owner reported 2026-05-19, confirmed 2026-05-20 by comparing prod to AI-023 mockup. Hallway chip: owner request 2026-05-20. Auto-scroll: owner re-added to scope 2026-05-20 — initially deferred, then put back because without it the new bottom button leaves the user staring at chips during generation.",Both,P1,Done (in production),S,1,,SHIPPED 2026-05-20 (PR #24). All 3 fixes in production. Deferred work (constraint emphasis) captured in feedback_ai_vision_design.md. The DEEP structure-preservation fix lives in AI-029. New issue surfaced 2026-05-20 post-ship: portrait-input result hero shows cropped/blurred concept — tracked as AI-030.,2026-05-20
,AI-030,AI Vision — Adaptive result hero + aspect-preserved generation (portrait + landscape),AI Studio,"THREE-PART fix on branch claude/thirsty-cohen-e7d44e (2 wip commits): (Part 1) Adaptive layout in renderState3Hero — measure concept aspect via useEffect+new Image() probe (more reliable than JSX onLoad across React reconciliation), branch container/panes: landscape keeps 30/70 split + height 78vh + w-full; portrait uses 50/50 split + explicit width/height via sideBySideAspect (= conceptAspect × 2 so two portrait images abut, no internal letterboxing). Always object-contain so full image is visible (no crop). Wrapper div w-full bg-black provides outer letterbox bars. Reads [black][original][concept][black]. (Part 2) Aspect-preserved generation in imageGeneration.ts — detect INPUT aspect via sharp metadata (EXIF-rotation aware), pickAspectRatio() maps to Gemini's 16:9/4:3/1:1/3:4/9:16, pass via config.imageConfig.aspectRatio. Graceful fallback if SDK rejects field. (Part 3) Bumped HERO_FULL_WIDTHS to [768, 1024, 1440, 1920, 2400, 2880] and RESULT_AFTER_WIDTHS to [768, 1024, 1400, 1920, 2400] for high-DPR Cloudinary delivery (helps showcase image quality on 4K screens; doesn't help Gemini-output data URLs since cld() passes those through unchanged — separate ticket for Cloudinary upload of Gemini outputs).",Owner feedback 2026-05-20 + 2026-05-21 + 2026-05-22: portrait inputs generate landscape concepts that get cropped + zoomed in the result hero. User has to click lightbox to see actual HD. Real engagement leak on the most important AI Vision surface.,Both,P1,Done (in production),M,1,,"SHIPPED 2026-05-23 (PR #25, merge commit 7625dbb). Final title: 'feat(ai-030): AI Vision · adaptive result hero + aspect-preserved generation + sharp upscale · no crop'. All 3 parts in production. KNOWN LIMITATION carried forward: Gemini Flash Image inconsistently honors imageConfig.aspectRatio (~60-70% of generations match). Adaptive layout falls back gracefully to landscape mode for misfires — correct behavior, not a bug. Follow-up if owner reports inconsistent portrait results in prod: server-side retry-on-aspect-mismatch + sharp upscale of Gemini output (currently a data URL that bypasses cld() upscaling). Logged as a deferred ticket if needed; not opened until prod feedback warrants.",2026-05-23
,VF-001,"UI readability audit — text size, contrast, hierarchy",Visual/Feel,Multiple users + owner: copy was too small + too low-contrast. Established typography + contrast baselines and applied site-wide.,Compounds on every page. Foundational P0 — affects every other feature. Customer feedback received twice (multi-user 2026-04-28 + owner direct 2026-04-28).,Both,P0,Done (in production),M,1,,First Done 2026-04-29 → reverted in Phase 1A v3 fallout → re-shipped 2026-05-04 as Phase 1A bisect step 4 (PR #14). Targets enforced: body min 16px (mobile) / 14px (desktop); secondary/caption min 13px never lighter than #6B6B6B on white (4.5:1 WCAG AA); section labels + decorative numerals can stay smaller.,2026-05-04
,F-001,[Closed] Sign-up CTA was hidden,Customer Feedback,Original feedback 2026-04-19. Closed by S-003 — header now shows secondary 'Try AI free' CTA on all pages where user is logged-out (except /ai-concepts itself).,Real-user feedback that drove the visible header sign-up decision.,Both,P0,Done (in production),S,1,S-003,Closed in production 2026-05-04 with S-003 re-ship.,2026-04-19
,I-030,Rail A rewritten - Ameriabank vPOS recurring subscriptions,Infra/CMS,Full Rail A subscription implementation on top of Ameriabank vPOS card-bindings (recurring). Replaces the LS/Paddle/FastSpring path that all three rejected. Spec: _Plan/Website/Website-Subscriptions-Plan.md. Bank enabling bindings 2026-07-09.,"LS/Paddle/FastSpring all rejected the studio as ineligible. Only remaining path is direct-to-bank via Ameriabank vPOS recurring bindings. 4 decisions LOCKED (USD, no-trial, cancel-to-period-end, v1 = Full SaaS Design/Studio).",Both,P0,Idea (planning - spec required),L,4,"I-024, I-025, Ameriabank recurring confirmation",See project_subscriptions_recurring_plan.md memory. Bank enabling bindings 2026-07-09. Spec in _Plan/Website/Website-Subscriptions-Plan.md.,2026-07-12
,I-025.2,Book-first consultation flow (Calendly avail + Google Calendar + hold),Infra/CMS,Rewrite paid $99 consultation from pay-first to book-first: sign in -> pick a slot -> 20-min hold -> pay -> Google Calendar creates event with Meet link. Availability sourced live from Calendly (60s cache). Schema adds slot_start_time / slot_hold_expires_at / google_calendar_event_id + partial unique index.,"Book-first is a much better UX than pay-first: user sees availability before committing $99, holds a specific slot, gets a calendar invite with Meet link directly (no separate Calendly link email).",Both,P0,Done (in production),M,4,"I-025, I-024",Shipped PR #44 (3c77287) on 2026-07-07. Availability LIVE from Calendly. Owner still owes real $99 e2e prod test.,2026-07-12
,I-024.1,Admin durability - Postgres persistence for users/activity/counters,Infra/CMS,"Move users.json + activity log + call counters off Railway ephemeral disk to Postgres. Fixes: /admin resetting to 0 across deploys, local != prod divergence, missing sheet users.","Railway ephemeral disk was destroying user + activity data on every deploy - root cause of ""/admin shows 0"" pattern.",Both,P0,Done (in production),M,1,I-024,Shipped PR #45 (ffab2eb) 2026-07. Phase 1 of the admin durability plan. See project_admin_durability_root_cause.md memory.,2026-07-12
,I-029,Admin sidebar shell + Feedback & Waitlist panels,Infra/CMS,New /admin sidebar navigation shell with collapsible sections. Adds Feedback panel + Waitlist panel as first-class admin views.,Admin was a single flat KPI page; adding structured panels for feedback + waitlist review makes those actionable instead of buried.,Both,P1,Done (in production),M,1,I-021,Shipped PR #47 (676871c) 2026-07. Phase 2 of admin durability plan.,2026-07-12
,S-029,SEO - 301 legacy WordPress URLs + 410 old assets,Performance/SEO,server/redirects.ts + Express middleware. 301s: /hy* -> /; /free-consultation -> /consultation; /contact-us-arm -> /studio; /blog* + /category/* -> /journal; 3 old portfolio slugs -> /portfolio; 2 old article slugs -> /journal. 410 Gone: /wp-content/* (drops from index faster).,"GSC ""Crawled - currently not indexed"" bucket contained 22 legacy WordPress URLs from the pre-rebuild site. Google was refusing to index these dead paths. 301 + 410 tell Google explicitly what happened.",Both,P1,Done (in production),M,1,S-007,Shipped PR #48 (842af42) 2026-07-10. 42-case vitest covers every rule. Google will validate over 4-8 weeks as it re-crawls.,2026-07-12
,S-030,SEO - canonical host = www + strip trailing slashes,Performance/SEO,Enforce www.designature.studio as canonical host at the server layer. Strip trailing slashes on non-root paths.,"Signal to Google that www is the one canonical host. Fixes the ""Duplicate - Google chose different canonical"" bucket in GSC.",Both,P1,Done (in production),S,1,S-007,Shipped PR #52 (8d5f265) 2026-07. Follow-up to the S-007 canonical=www decision.,2026-07-12
,AI-032,"AI Studio onboarding diagnostic — ""Where do I start?""",AI Studio,"A visitor lands on /ai-studio, sees 16 cards across 5 phases, and has no idea which is theirs. Four chip questions (where are you in the project · what is actually stopping you · one room or whole home · what do you need to walk away with) return a PERSONAL ORDERED WORKFLOW of 3-5 tools instead of a menu. Deliberately NOT an AI feature - a deterministic weights table, zero model calls: instant, free, unit-testable, and it can never invent a tool we do not have. Score selects, phase orders (Discover-Plan-Visualize-Specify-Realize) so the path always reads as a journey; the tool answering the blocker question is marked ""this is your actual problem"". Includes an HONEST EXIT - mid-renovation + whole home + builder-ready returns no path at all, just the free 15-min call. Guests take it without an account; resumable with a ""Step 2 of 4"" progress strip.","Raises the value of every tool already built, which no 11th tool can do. Six tools exist and ten more are planned - adding another card to a screen nobody can navigate does not increase usage. Also answers a question the studio cannot currently answer at all: what do visitors actually believe their problem is? (Q2's distribution feeds GEO phrase selection.)",Both,P1,Idea (planning - spec required),M,1,AI-021 (Done - explorer rail/panel already in production),"SPEC: _Plan/Website/AI-032-AI-Studio-Onboarding-Flow.md · MOCKUP: _Mockups/Website/WEBSITE-PLAN-AI032-studio-onboarding-flow.html. Requested by owner 2026-08-24. 5-7 ideal days across 4 phases. New src/data/studioRouter.ts = single source of truth for the weights table. No AI, no new vendor, no new infrastructure.",2026-08-24
,AI-033,AI Vision — accept a floorplan as input (the Plan My Room bridge),AI Studio,"Today AI Vision receives a photo and must ESTIMATE the room (spatialAnalysis.ts) - that estimate is the root of every structure-preservation bug and of AI-029. Arriving from Plan My Room there is nothing to estimate. TWO BRANCHES, one tool: (A) FROM THE PLAN - geometry + camera pin + style, photo optional, structure known, renders the planned room exactly; (B) DIRECT LANDING - photo + style, structure estimated, today's behaviour unchanged, with an upsell to Plan My Room. Level 1: geometry -> a precise scene brief + camera, into the existing Gemini call. Level 2: project the room and furniture as plain blocks from the camera, render a line/depth map, use as ControlNet conditioning - AI-029 Phase 3 with an EXACT depth map. Branch A also unlocks rendering with NO photo at all: empty apartments, gut renovations, new builds.","Turns the floorplan from a sibling tool into an upgrade path for the tool we already monetise, and fixes the AI-029 class of bugs at source rather than by prompt-nudging. Branch A serves a customer Vision cannot serve today.",Both,P2,Idea (planning - spec required),L,4,AI-016,"Raised by owner 2026-08-25 reviewing AI-016; two-branch model added 2026-08-26 on owner call. Spec: _Plan/Website/AI-016-Floorplan-Generator-Plan.md sheet 09. Camera contract = the user taps where they stood on their own plan and drags to aim (deriving it from the photo is brittle; EXIF gives heading at best, never position). STYLE IS REQUIRED - via preset chip, Style Quiz profile or an uploaded reference image. Revives D6: 3D returns as plumbing (~1 day for a box projection).",2026-08-25
,AI-034,Heat My Room — heating & cooling plan,AI Studio,"Radiators, baseboards, HVAC supply registers and returns, AC units, underfloor heating. Deliberately split OUT of AI-016 on 2026-08-25: the floorplan generator is about furniture placement, and once you draw a radiator you owe the user the AC, the vents and the returns too. Consumes the same geometry model AI-016 produces.",Keeps the floorplan generator honest and shippable. Heating is a real deliverable but a different discipline with its own rulebook.,Both,P3,Idea,L,5,AI-016,"Owner call 2026-08-25: 'if radiator is there we must have ac, and other heating/cooling stuff'. Radiator and floor-register symbols removed from the AI-016 library at the same time; R9 narrowed to service ACCESS only. A fireplace stays in AI-016 - not as heating, but because it is often the real anchor of a US living room (R16).",2026-08-25
,AI-035,"Plumb My Room — wet-services plan (sanitary, drainage, supply)",AI Studio,"Sanitary fixtures, drainage falls and stack positions, hot/cold supply runs and shut-offs, for kitchens and bathrooms — the wet-services layer of the plan. Consumes the same geometry model as AI-016 and AI-034. Identified 2026-08-27 while drawing the AI-032 v2 scenario routes: the roster already carries Light My Room (AI-011), Wire My Room (AI-018) and Heat My Room (AI-034) between Redesign and Shop, but there is nothing at all for water.","No kitchen or bathroom route can complete without it, and those are the two highest-spend rooms in any home. Drainage falls and stack positions decide a wet-room layout before anything aesthetic does — a render that ignores them is a convincing picture of a room nobody can build.",Both,P2,Idea,L,5,AI-016,"Proposed 2026-08-27 from the AI-032 v2 scenario route map (_Plan\Website\AI-032v2-Scenario-Pipelines.md). Sits on 2 of the 11 visitor routes (mid-renovation, wet room) — few routes, but the priciest rooms. Also needs a card added to src/components/studio/explorerRoster.ts.",2026-08-27
,AI-036,Schedule My Finishes — room-by-room finishes schedule with quantities,AI Studio,"Turns a concept into quantities: m2 of tile and flooring, litres of paint, linear metres of skirting and trim, per room, as a takeoff a supplier can actually price. Shop My Room finds PRODUCTS; it cannot quantify MATERIALS, and nothing else on the board does either.",The card that makes Shop My Room useful to a renovator rather than a decorator. Without it Shop can only ever buy furniture — which is exactly where a renovating visitor hits the wall today. Highest-frequency unbuilt card on the AI-032 v2 route map: 4 of 11 routes run through it.,Both,P2,Idea,L,5,AI-016; Shop My Room,"Proposed 2026-08-27 from the AI-032 v2 scenario route map. Build-order argument there puts it second, after AI-012 Cost My Project. Build My Moodboard (AI-014) is arguably a step INSIDE this card rather than a card of its own — decide that before building either. Also needs a card in explorerRoster.ts.",2026-08-27
,AI-037,Virtual-staging engine (fal FLUX) — re-test vs Gemini before activating,AI Studio,"The fal.ai FLUX apartment-staging engine (img2img — keeps the real room, only adds furniture, so it structurally cannot invent windows/doors) is built in services/aiVision/virtualStaging.ts and wired into generateConcept.ts, but opt-in only (AI_VISION_ENGINE=staging + FAL_KEY). Default = improved Gemini.","Gemini occasionally distorts room structure (widens walls, invents/moves windows). fal cannot — so if structure drift ever becomes the bigger problem, fal is the built-in safety option worth reactivating.",Both,P3,Idea (parked — needs head-to-head test),M,5,AI-029,"Owner raised 2026-08-28. A prior session tested fal, found it 'not working at all', Gemini 'way better', kept it dormant. Needs FAL_KEY + credits (~$0.02/img). Re-test = run the SAME empty room through fal vs Gemini side by side, owner picks, THEN decide default. Do NOT activate blind.",2026-08-28
,M-003,Pipeline-driven engagement app — push notifications + full site parity,Mobile,"Native mobile app (iOS + Android) — or a PWA-first phase — that ships feature parity with designature.studio AND adds pipeline-aware push notifications. When a visitor picks a scenario in the AI Studio onboarding (AI-032 / AI-032v2), the app treats that scenario as an ordered pipeline through specific cards. As the user completes a card (or when time gates expire), a push nudges them to the next stage — ""Nice, your palette is locked. Ready to see it? → Redesign My Room"" — turning what is today a website into a coached, months-long journey. Feature parity is non-negotiable: everything the site does today (AI Vision, Shopping List, Room Audit, Style Quiz, /account library, /consultation booking) works inside the app.","The website is transactional — visit, do a tool, leave. A design project is a month-long journey with many stages. Push notifications are the only reliable channel to bring a user back at the RIGHT moment for the NEXT stage of THEIR pipeline. Also protects retention against generic AI chatbots that lack a personal journey model.",Option 2,P2,Idea (planning — spec required · large scope),XL,Future,"AI-032, AI-032v2, AC-001 (dashboard), I-030 (paid tiers), M-002 (native app stack)","Owner 2026-08-30. Complements — not replaces — M-002. M-002 is the ""native apps exist at all"" question; M-003 is the specific product feature that would justify building them (or a PWA phase first). Two possible technical paths: (1) PWA with web push — ships fast, no app stores, works everywhere but iOS Safari push has caveats; (2) React Native or Expo native app — reuses most React code, real push notifications, app-store presence. Recommend Phase 1 = PWA, Phase 2 = native. Depends on AI-032v2 being live in the site first (the pipeline definition is the substrate the notifications ride on). 2026-09-06 decision: phase 1 is M-004 (installable app plus push), scheduled for 2026-09-28 to 2026-11-08. M-003 keeps the pipeline aware nudges, which need AI-032 v2 live first and ride on the push plumbing M-004 builds.",2026-08-30
